name,agency,vote_1,vote_2,expo_1,expo_2,imp_1,imp_2,neg_1,order_name,order_agency,level_1,level_2,age,height,visual,agency_category,id,thumb_pic_url,agency_member_count,is_ranker_same_agency_1,is_ranker_same_agency_2
김자연,Happyface,20932,0,13,0,0,1,0,0,0,1,2,25,164.0,0,2,148,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/81399af7-a945-4df2-b7ad-b351c3acdb35-4-10-해피페이스-김자연.png,8,0,0
이채린,MIDAS(마이다스) ,20868,0,1,0,0,3,0,0,0,2,2,17,162.0,0,2,97,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/2bba1cbe-ee70-4df3-a8c4-3e0a7a431a2a-3-9-마이다스-이채린.png,6,0,0
최유빈,MIDAS(마이다스) ,20829,0,8,0,1,3,0,0,0,3,2,17,161.0,0,2,96,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/5006bc10-75a3-4351-a8bb-9c6bf9340a77-3-10-마이다스-최유빈.png,6,0,0
캐서린 리,MIDAS(마이다스) ,20807,0,2,0,1,3,0,0,0,2,1,15,165.0,0,2,95,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/bb71b15c-68b4-4716-9670-b4e2207699af-3-11-마이다스-캐서린리.png,6,0,0
신혜현,MIDAS(마이다스) ,20752,0,7,0,0,1,0,0,0,1,3,17,162.0,0,2,98,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/f160e923-4ac3-4cdb-8edf-c89d0275a615-3-8-마이다스-신혜현.png,6,0,0
남수진,매직 프레쉬컴퍼니,20189,0,0,0,0,6,0,0,0,3,3,21,168.0,0,2,175,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/03190a39-fe78-403f-afe3-9981ac7c4ba0-5-13-매직프레쉬-컴퍼니-남수진.png,2,0,0
김솔이,블레싱  ,19899,0,6,0,0,0,0,0,0,1,1,15,172.7,0,2,192,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/737049c9-3753-4236-b22c-e6c790b8583a-6-6-블레싱-김솔이.png,5,0,0
이세흔,NEXTLEVEL(넥스트레벨),18731,0,21,0,1,8,0,0,0,4,3,17,159.0,0,2,73,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/00388096-7d1c-4814-b2b7-baddfb0b7ba1-2-13.넥스트레벨-이세흔.png,1,0,0
방준희,블레싱  ,18579,0,10,0,0,0,0,0,0,1,3,18,164.0,0,2,191,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/09d12de6-6482-4077-afc2-64a592c26bb7-6-7-블레싱-방준희.png,5,0,0
윤유담,FM ,18206,0,23,0,0,9,0,0,1,4,2,19,168.0,0,2,226,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/297fafa1-c0f5-43a4-854f-291080535587-7-9-FM-윤유담.png,1,0,0
김보선,LOUDers(라우더스),18034,0,18,0,2,0,0,0,0,2,2,22,163.0,0,2,196,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/78d746ce-deb9-4e03-a685-b938468d78c4-6-10-LOUDers-김보선.png,3,0,0
문현주,넥스타,16736,0,13,0,0,0,0,0,0,1,1,18,170.0,0,2,199,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/4239e64a-108d-4d90-b6f5-169536ad80d2-6-14-넥스타-문현주.png,2,0,0
